Student_id,Marathi_Growth_7_to_8,Urdu_Growth_7_to_8,Hindi_Growth_7_to_8,English_Growth_7_to_8,History_Growth_7_to_8,Science_Growth_7_to_8,Geography_Growth_7_to_8,Drawing_Growth_7_to_8,Sports_Growth_7_to_8,Environmental Studies_Growth_7_to_8,Math_Growth_7_to_8,Computer_Growth_7_to_8
S2025001,10.0,-2.0,10.0,0.0,10.0,0.0,25.0,-2.0,0.0,1.0,0.0,-5.0
S2025002,20.0,15.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,7.0,2.0,0.0
S2025003,0.0,25.0,5.0,0.0,-22.0,12.0,0.0,0.0,0.0,0.0,10.0,24.0
S2025004,-1.0,-4.0,-2.0,-4.0,-2.0,-4.0,-3.0,-3.0,-5.0,-5.0,-5.0,-2.0
S2025005,0.0,2.0,4.0,0.0,0.0,-2.0,0.0,-5.0,5.0,12.0,5.0,3.0
S2025006,0.0,1.0,-15.0,0.0,0.0,0.0,0.0,0.0,-6.0,-10.0,27.0,10.0
S2025007,12.0,4.0,9.0,7.0,2.0,12.0,9.0,27.0,35.0,19.0,21.0,6.0
S2025008,0.0,17.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.0,0.0
S2025009,-4.0,-1.0,-2.0,-5.0,-4.0,-3.0,-1.0,0.0,-3.0,-5.0,-3.0,-7.0
S2025010,4.0,6.0,11.0,28.0,6.0,10.0,4.0,5.0,5.0,8.0,8.0,10.0
S2025011,-5.0,0.0,4.0,-5.0,3.0,-9.0,5.0,2.0,-2.0,-5.0,0.0,1.0
S2025012,-16.0,-6.0,-12.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,-6.0,20.0
S2025013,26.0,11.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,26.0,4.0
S2025014,-2.0,-4.0,-1.0,-2.0,-3.0,-2.0,-3.0,-5.0,-4.0,-3.0,-5.0,-5.0
S2025015,4.0,5.0,11.0,12.0,8.0,-5.0,-20.0,5.0,-5.0,3.0,-40.0,-21.0
S2025016,4.0,11.0,20.0,41.0,6.0,6.0,12.0,9.0,4.0,5.0,6.0,12.0
S2025017,14.0,0.0,-7.0,1.0,0.0,-4.0,0.0,0.0,0.0,5.0,-7.0,0.0
S2025018,0.0,9.0,17.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
S2025019,0.0,0.0,0.0,20.0,0.0,3.0,-5.0,0.0,0.0,10.0,31.0,0.0
S2025020,-4.0,-2.0,-5.0,-5.0,-3.0,-3.0,-3.0,-1.0,-4.0,-1.0,-5.0,-5.0
S2025021,-1.0,6.0,0.0,0.0,7.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0
S2025022,0.0,11.0,6.0,0.0,0.0,-2.0,0.0,-6.0,0.0,-20.0,0.0,9.0
S2025023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2025024,-3.0,-3.0,-1.0,-7.0,-6.0,-3.0,-4.0,-5.0,-1.0,-4.0,-5.0,-3.0
S2025025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2025026,1.0,0.0,0.0,6.0,0.0,6.0,0.0,-10.0,2.0,0.0,17.0,0.0
S2025027,11.0,12.0,16.0,0.0,-14.0,0.0,0.0,-3.0,0.0,-12.0,-14.0,-7.0
S2025028,1.0,0.0,18.0,29.0,0.0,14.0,0.0,42.0,0.0,15.0,3.0,0.0
S2025029,-2.0,-5.0,-2.0,-2.0,-4.0,-4.0,-2.0,-3.0,-2.0,-3.0,-4.0,-2.0
S2025030,5.0,6.0,6.0,8.0,9.0,11.0,14.0,15.0,2.0,33.0,7.0,6.0
