Student_id,Marathi_Growth_6_to_7,Urdu_Growth_6_to_7,Hindi_Growth_6_to_7,English_Growth_6_to_7,History_Growth_6_to_7,Science_Growth_6_to_7,Geography_Growth_6_to_7,Drawing_Growth_6_to_7,Sports_Growth_6_to_7,Environmental Studies_Growth_6_to_7,Math_Growth_6_to_7,Computer_Growth_6_to_7
S2025001,3.0,1.0,0.0,-4.0,5.0,0.0,6.0,1.0,3.0,-2.0,-1.0,15.0
S2025002,-15.0,5.0,0.0,0.0,3.0,0.0,0.0,21.0,0.0,4.0,6.0,4.0
S2025003,0.0,1.0,-5.0,-1.0,0.0,-14.0,0.0,0.0,-20.0,0.0,0.0,0.0
S2025004,-2.0,-3.0,-1.0,-1.0,-3.0,-5.0,-2.0,-3.0,-5.0,-3.0,-2.0,-2.0
S2025005,3.0,0.0,-3.0,11.0,-5.0,2.0,3.0,1.0,-1.0,-1.0,-1.0,3.0
S2025006,3.0,0.0,0.0,-27.0,0.0,22.0,25.0,0.0,-2.0,0.0,0.0,0.0
S2025007,11.0,4.0,5.0,5.0,2.0,8.0,3.0,3.0,4.0,7.0,5.0,1.0
S2025008,-6.0,0.0,-7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-20.0
S2025009,-2.0,-4.0,-1.0,-4.0,-3.0,-7.0,-1.0,-4.0,-3.0,-5.0,-2.0,-8.0
S2025010,6.0,3.0,10.0,7.0,4.0,5.0,1.0,8.0,7.0,10.0,4.0,10.0
S2025011,2.0,1.0,0.0,0.0,11.0,14.0,8.0,19.0,8.0,2.0,-5.0,20.0
S2025012,7.0,-6.0,0.0,20.0,2.0,0.0,0.0,-3.0,0.0,3.0,0.0,0.0
S2025013,-24.0,3.0,0.0,0.0,0.0,0.0,28.0,3.0,0.0,0.0,5.0,8.0
S2025014,-3.0,-10.0,-2.0,-1.0,-1.0,-4.0,-6.0,-1.0,-6.0,-4.0,-4.0,-4.0
S2025015,19.0,6.0,-34.0,16.0,-8.0,-15.0,1.0,2.0,-8.0,33.0,10.0,-14.0
S2025016,10.0,6.0,6.0,6.0,5.0,1.0,9.0,10.0,6.0,10.0,16.0,3.0
S2025017,-25.0,12.0,-4.0,3.0,0.0,-2.0,-1.0,0.0,0.0,20.0,-4.0,-5.0
S2025018,0.0,0.0,9.0,11.0,0.0,0.0,4.0,8.0,0.0,19.0,6.0,6.0
S2025019,6.0,-8.0,0.0,2.0,0.0,2.0,-11.0,0.0,0.0,0.0,2.0,0.0
S2025020,-1.0,-5.0,-2.0,-4.0,-4.0,3.0,-3.0,-3.0,-4.0,-2.0,-2.0,-5.0
S2025021,-13.0,-5.0,3.0,0.0,4.0,0.0,-10.0,0.0,30.0,18.0,-13.0,-10.0
S2025022,12.0,-2.0,-3.0,0.0,0.0,-3.0,-9.0,0.0,0.0,34.0,16.0,-14.0
S2025023,-5.0,0.0,18.0,0.0,14.0,12.0,0.0,3.0,0.0,3.0,0.0,10.0
S2025024,-1.0,-3.0,-4.0,-4.0,-2.0,-1.0,-5.0,-3.0,-1.0,-2.0,-1.0,-5.0
S2025025,4.0,5.0,5.0,3.0,9.0,1.0,1.0,3.0,10.0,10.0,10.0,10.0
S2025026,0.0,4.0,0.0,3.0,0.0,3.0,0.0,33.0,0.0,0.0,5.0,11.0
S2025027,0.0,0.0,0.0,0.0,5.0,10.0,3.0,0.0,0.0,45.0,0.0,27.0
S2025028,5.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,10.0,25.0
S2025029,-3.0,-4.0,-3.0,-3.0,-5.0,-10.0,-3.0,-2.0,-9.0,5.0,-9.0,-7.0
S2025030,9.0,5.0,10.0,6.0,10.0,4.0,5.0,6.0,6.0,12.0,8.0,5.0
